0,1,0
0,2,1
0,3,2
0,4,3
0,6,4
0,10,5
0,13,6
0,12,7
0,20,8
0,22,9
0,24,10
0,25,11
1,1,0
1,2,1
1,3,2
1,4,3
1,5,4
1,9,5
1,10,6
1,14,7
1,13,8
1,12,9
1,11,10
1,22,11
1,24,12
1,25,13
2,1,0
2,2,1
2,3,2
2,4,3
2,5,4
2,6,5
2,7,6
2,8,7
2,9,8
2,10,9
2,13,10
2,20,11
2,22,12
2,24,13
2,25,14
2,26,15
3,2,0
3,3,1
3,5,2
3,7,3
3,10,4
3,11,5
3,12,6
3,14,7
3,22,8
3,25,9
4,1,0
4,2,1
4,3,2
4,5,3
4,4,4
4,9,5
4,10,6
4,11,7
4,12,8
4,20,9
4,22,10
4,24,11
4,25,12
5,5,0
5,4,1
5,3,2
5,2,3
5,1,4
5,0,5
5,9,6
5,10,7
5,11,8
5,12,9
5,22,10
5,23,11
5,24,12
5,25,13
6,1,0
6,2,1
6,3,2
6,4,3
6,5,4
6,7,5
6,8,6
6,9,7
6,11,8
6,14,9
6,15,10
6,22,11
6,24,12
6,25,13
7,5,0
7,4,1
7,3,2
7,2,3
7,0,4
7,1,5
7,9,6
7,11,7
7,15,8
7,22,9
7,23,10
7,24,11
7,25,12
8,6,0
8,5,1
8,4,2
8,3,3
8,2,4
8,1,5
8,0,6
8,9,7
8,11,8
8,15,9
8,20,10
8,22,11
8,23,12
8,24,13
8,25,14
9,5,0
9,4,1
9,3,2
9,2,3
9,1,4
9,0,5
9,9,6
9,10,7
9,11,8
9,16,9
9,22,10
9,23,11
9,24,12
9,25,13
10,2,0
10,1,1
10,3,2
10,4,3
10,5,4
10,11,5
10,15,6
10,16,7
10,22,8
10,24,9
10,25,10
11,0,0
11,1,1
11,3,2
11,4,3
11,5,4
11,6,5
11,9,6
11,10,7
11,11,8
11,12,9
11,16,10
11,20,11
11,23,12
11,24,13
11,25,14
11,26,15
12,1,0
12,2,1
12,3,2
12,5,3
12,10,4
12,19,5
12,22,6
12,24,7
12,25,8
13,1,0
13,2,1
13,3,2
13,5,3
13,4,4
13,9,5
13,10,6
13,12,7
13,15,8
13,17,9
13,18,10
13,22,11
13,23,12
13,24,13
13,25,14
14,1,0
14,2,1
14,3,2
14,4,3
14,5,4
14,9,5
14,10,6
14,15,7
14,17,8
14,18,9
14,22,10
14,23,11
14,24,12
14,25,13
15,5,0
15,4,1
15,2,2
15,3,3
15,1,4
15,7,5
15,8,6
15,9,7
15,11,8
15,12,9
15,15,10
15,22,11
15,24,12
15,25,13
15,26,14
16,2,0
16,1,1
16,3,2
16,4,3
16,5,4
16,9,5
16,10,6
16,11,7
16,12,8
16,19,9
16,22,10
16,23,11
16,24,12
16,25,13
17,0,0
17,1,1
17,2,2
17,4,3
17,3,4
17,5,5
17,9,6
17,10,7
17,11,8
17,12,9
17,15,10
17,19,11
17,20,12
17,22,13
17,24,14
17,25,15
18,1,0
18,2,1
18,3,2
18,4,3
18,5,4
18,6,5
18,9,6
18,11,7
18,20,8
18,21,9
18,22,10
18,24,11
18,25,12
19,1,0
19,2,1
19,3,2
19,4,3
19,5,4
19,9,5
19,10,6
19,11,7
19,12,8
19,14,9
19,21,10
19,22,11
19,24,12
19,25,13
20,1,0
20,2,1
20,3,2
20,5,3
20,4,4
20,6,5
20,9,6
20,11,7
20,13,8
20,20,9
20,21,10
20,22,11
20,24,12
20,25,13
21,1,0
21,2,1
21,3,2
21,4,3
21,5,4
21,9,5
21,10,6
21,22,7
21,24,8
21,25,9
22,1,0
22,3,1
